Timestamp 	 CPU-Usage
13:29:54.443 22
13:29:55.449 13
13:29:56.457 15
13:29:57.465 31
13:29:58.472 18
13:29:59.478 21
13:30:00.485 12
13:30:01.492 23
13:30:02.500 13
13:30:03.508 6
13:30:04.516 8
13:30:05.523 26
13:30:06.530 25
13:30:07.536 28
13:30:08.544 5
13:30:09.552 15
13:30:10.558 15
13:30:11.564 14
13:30:12.571 13
13:30:13.577 22
13:30:14.584 25
13:30:15.593 29
13:30:16.600 3
13:30:17.608 28
13:30:18.616 28
13:30:19.624 13
13:30:20.633 13
13:30:21.639 17
13:30:22.645 24
13:30:23.653 8
13:30:24.660 28
13:30:25.667 11
13:30:26.674 19
13:30:27.682 19
13:30:28.690 19
13:30:29.698 14
13:30:30.706 14
13:30:31.714 26
13:30:32.720 9
13:30:33.725 24
13:30:34.731 27
13:30:35.738 29
13:30:36.746 4
13:30:37.753 30
13:30:38.760 25
13:30:39.770 17
13:30:40.777 10
13:30:41.785 8
13:30:42.793 14
13:30:43.800 11
13:30:44.808 7
13:30:45.815 12
13:30:46.822 9
13:30:47.828 10
13:30:48.836 11
13:30:49.842 9
13:30:50.850 10
13:30:51.861 11
13:30:52.867 14
13:30:53.873 12
13:30:54.878 10
13:30:55.882 15
13:30:56.889 21
13:30:57.896 3
13:30:58.902 4
13:30:59.909 3
13:31:00.916 12
13:31:01.924 18
13:31:02.932 25
13:31:03.939 19
13:31:04.946 6
13:31:05.954 8
13:31:06.961 6
13:31:07.968 10
13:31:08.975 4
13:31:09.980 7
13:31:10.985 18
13:31:11.994 15
13:31:13.002 9
13:31:14.011 18
13:31:15.018 17
13:31:16.026 9
13:31:17.034 19
13:31:18.042 7
13:31:19.050 5
13:31:20.057 16
13:31:21.065 8
13:31:22.072 17
13:31:23.079 11
13:31:24.087 24
13:31:25.094 16
13:31:26.101 18
13:31:27.106 17
13:31:28.114 29
13:31:29.121 23
13:31:30.128 8
13:31:31.136 7
13:31:32.143 10
13:31:33.155 12
13:31:34.162 25
13:31:35.169 21
13:31:36.177 14
13:31:37.184 19
13:31:38.191 13
13:31:39.199 5
13:31:40.207 15
13:31:41.214 13
13:31:42.221 18
13:31:43.229 10
13:31:44.236 15
13:31:45.243 14
13:31:46.249 15
13:31:47.256 19
13:31:48.261 20
13:31:49.267 11
13:31:50.275 12
13:31:51.282 8
13:31:52.289 11
13:31:53.296 4
13:31:54.304 12
13:31:55.310 13
13:31:56.317 12
13:31:57.323 15
13:31:58.330 17
13:31:59.337 8
13:32:00.344 10
13:32:01.353 22
13:32:02.360 22
13:32:03.366 17
13:32:04.373 22
13:32:05.380 14
13:32:06.387 13
13:32:07.394 12
13:32:08.399 27
13:32:09.404 13
13:32:10.412 25
13:32:11.419 18
13:32:12.427 17
13:32:13.433 21
13:32:14.438 23
13:32:15.444 12
13:32:16.450 13
13:32:17.456 20
13:32:18.464 9
13:32:19.470 12
13:32:20.476 18
13:32:21.481 17
13:32:22.487 10
13:32:23.495 13
13:32:24.502 14
13:32:25.507 9
13:32:26.514 28
13:32:27.522 18
13:32:28.530 17
13:32:29.536 20
13:32:30.542 20
13:32:31.549 22
13:32:32.556 13
13:32:33.562 14
13:32:34.567 16
13:32:35.575 19
13:32:36.581 6
13:32:37.589 10
13:32:38.596 17
13:32:39.604 9
13:32:40.611 15
13:32:41.618 15
13:32:42.624 15
13:32:43.630 20
13:32:44.636 12
13:32:45.642 10
13:32:46.648 18
13:32:47.655 13
13:32:48.663 7
13:32:49.671 6
13:32:50.679 13
13:32:51.686 7
13:32:52.693 8
13:32:53.701 13
13:32:54.709 13
13:32:55.716 11
13:32:56.724 8
13:32:57.733 7
13:32:58.741 8
13:32:59.748 15
13:33:00.755 9
13:33:01.763 11
13:33:02.770 8
13:33:03.777 12
13:33:04.785 17
13:33:05.792 11
13:33:06.799 13
13:33:07.805 10
13:33:08.812 7
13:33:09.820 12
13:33:10.828 13
13:33:11.835 14
13:33:12.841 15
13:33:13.848 12
13:33:14.854 19
13:33:15.860 17
13:33:16.866 21
13:33:17.870 15
13:33:18.874 13
13:33:19.879 16
13:33:20.885 15
13:33:21.891 18
13:33:22.897 17
13:33:23.904 10
13:33:24.910 11
13:33:25.916 17
13:33:26.922 10
13:33:27.928 8
13:33:28.935 6
13:33:29.941 4
13:33:30.948 13
13:33:31.954 11
13:33:32.961 7
13:33:33.969 13
13:33:34.974 16
13:33:35.980 46
13:33:36.986 13
13:33:37.993 8
13:33:39.001 8
13:33:40.008 5
13:33:41.015 4
13:33:42.023 4
13:33:43.030 3
13:33:44.037 3
13:33:45.045 3
13:33:46.052 3
13:33:47.058 9
13:33:48.065 6
13:33:49.071 3
13:33:50.076 5
13:33:51.082 3
13:33:52.089 4
13:33:53.094 2
13:33:54.760 4
13:33:55.768 3
13:33:56.775 8
13:33:57.782 5
13:33:58.789 9
13:33:59.796 4
13:34:00.803 7
13:34:01.811 10
13:34:02.818 4
13:34:03.825 4
13:34:04.832 5
13:34:05.840 5
13:34:06.848 6
13:34:07.858 6
13:34:08.866 7
13:34:09.871 4
13:34:10.875 4
13:34:11.881 8
13:34:12.887 5
13:34:13.895 5
13:34:14.902 4
13:34:15.909 4
13:34:16.916 4
13:34:17.921 6
13:34:18.928 13
13:34:19.934 8
13:34:20.942 8
13:34:21.949 11
13:34:22.956 8
13:34:23.963 7
13:34:24.969 8
13:34:25.976 8
13:34:26.982 6
13:34:27.988 7
13:34:28.996 12
13:34:30.004 20
13:34:31.011 15
13:34:32.018 24
13:34:33.026 10
13:34:34.034 13
13:34:35.041 4
13:34:36.046 4
13:34:37.051 6
13:34:38.057 3
13:34:39.065 3
13:34:40.071 12
13:34:41.078 6
13:34:42.085 4
13:34:43.093 3
13:34:44.101 3
13:34:45.107 4
13:34:46.115 6
13:34:47.122 17
13:34:48.130 11
13:34:49.138 7
13:34:50.146 10
13:34:51.153 8
13:34:52.161 11
13:34:53.170 9
13:34:54.177 7
13:34:55.182 11
13:34:56.189 6
13:34:57.197 11
13:34:58.204 9
13:34:59.211 14
13:35:00.219 20
13:35:01.227 21
13:35:02.235 20
13:35:03.241 12
13:35:04.249 17
13:35:05.257 5
13:35:06.265 15
13:35:07.271 14
13:35:08.278 27
13:35:09.286 7
13:35:10.294 17
13:35:11.302 6
13:35:12.310 11
13:35:13.318 15
13:35:14.325 25
13:35:15.333 19
13:35:16.340 15
13:35:17.348 14
13:35:18.356 14
13:35:19.363 18
13:35:20.369 17
13:35:21.375 12
13:35:22.382 11
13:35:23.388 9
13:35:24.396 11
13:35:25.402 20
13:35:26.410 19
13:35:27.416 20
13:35:28.422 19
13:35:29.430 10
13:35:30.438 17
13:35:31.446 15
13:35:32.454 24
13:35:33.461 16
13:35:34.467 25
13:35:35.473 36
13:35:36.479 20
13:35:37.486 32
13:35:38.491 18
13:35:39.498 19
13:35:40.506 11
13:35:41.514 10
13:35:42.522 12
13:35:43.529 17
13:35:44.537 9
13:35:45.545 11
13:35:46.550 12
13:35:47.555 14
13:35:48.562 17
13:35:49.570 23
13:35:50.578 13
13:35:51.585 18
13:35:52.593 16
